"id"|"""type"""|"titre"|"titre_alternatif"|"soustitre"|"url"|"id_auteur"
BIB00004970|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00004970&id=555&p=1|2
BIB00004971|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00004971&id=555&p=1|2
BIB00004972|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00004972&id=555&p=1|2
BIB00004973|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00004973&id=555&p=1|2
BIB00005049|Archive|La Critique de L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005049&id=555&p=1|2
BIB00005060|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005060&id=555&p=1|2
BIB00005061|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005061&id=555&p=1|2
BIB00005096|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005096&id=555&p=1|2
BIB00005097|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005097&id=555&p=1|2
BIB00005098|Archive|L'Ecole des maris|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005098&id=555&p=1|2
BIB00005129|Archive|L'Eté des coquettes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005129&id=555&p=1|14
BIB00005130|Archive|L'Etourdi|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005130&id=555&p=1|2
BIB00005135|Archive|Dom Juan|ou le Festin de pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005135&id=555&p=1|2
BIB00005141|Archive|Les Facheux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005141&id=555&p=1|2
BIB00005152|Archive|Les Femmes savantes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005152&id=555&p=1|2
BIB00005153|Archive|Les Femmes savantes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005153&id=555&p=1|2
BIB00005167|Archive|George Dandin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005167&id=555&p=1|2
BIB00005168|Archive|George Dandin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005168&id=555&p=1|2
BIB00005242|Archive|Mahomet|ou Le Fanatisme|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005242&id=555&p=1|5
BIB00005243|Archive|Le Malade imaginaire|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005243&id=555&p=1|2
BIB00005244|Archive|Le Malade imaginaire|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005244&id=555&p=1|2
BIB00005297|Archive|Mérope|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005297&id=555&p=1|5
BIB00005303|Archive|Le Misanthrope|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005303&id=555&p=1|2
BIB00005315|Archive|Oreste|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005315&id=555&p=1|5
BIB00005342|Archive|Les Précieuses ridicules|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005342&id=555&p=1|2
BIB00005343|Archive|Les Précieuses ridicules|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005343&id=555&p=1|2
BIB00005406|Archive|Sémiramis|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005406&id=555&p=1|5
BIB00005418|Archive|Sganarelle|ou Le Cocu imaginaire|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005418&id=555&p=1|2
BIB00005440|Archive|Tartuffe|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005440&id=555&p=1|2
BIB00005441|Archive|Tartuffe|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005441&id=555&p=1|2
BIB00005489|Archive|Zaïre|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005489&id=555&p=1|5
BIB00005543|Archive|Les Amants magnifiques|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005543&id=555&p=1|2
BIB00005544|Archive|Les Amants magnifiques|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005544&id=555&p=1|2
BIB00005838|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005838&id=555&p=1|2
BIB00005841|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005841&id=555&p=1|2
BIB00005843|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00005843&id=555&p=1|2
BIB00007987|Archive|Le Théâtre de la Foire|""|"L'Ombre de la foire, ""L'Isle du Gouyou"", ""Magotin"", ""Arlequin Barbet"", ""Pagode et Médecin"", ""Les Trois Coméres (sic)"", ""Le point d'honneur""."|http://lagrange.comedie-francaise.fr/notice?ref=BIB00007987&id=555&p=1|79
BIB00007989|Archive|Le Théâtre de la Foire|""|"Les Captifs d'Alger, ""La Toison d'or"", ""l'Oracle muet"", ""la Pudeur à la Foire"", ""la Matrône (sic) de Charenton"", ""Les Vendanges de la Foire"", ""Divertissement"", ""la Reine des Péris"", ""l'Arbitre des différents"", ""l'Enchanteur Mirliton"", ""la Rage d'amour"", ""l"|http://lagrange.comedie-francaise.fr/notice?ref=BIB00007989&id=555&p=1|79
BIB00008104|Archive|La Polixène|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00008104&id=555&p=1|2
BIB00008146|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00008146&id=555&p=1|2
BIB00021943|Archive|Les Amants magnifiques|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00021943&id=555&p=1|2
BIB00021950|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00021950&id=555&p=1|2
BIB00024603|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024603&id=555&p=1|2
BIB00024622|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024622&id=555&p=1|2
BIB00024633|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024633&id=555&p=1|2
BIB00024637|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024637&id=555&p=1|2
BIB00024642|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024642&id=555&p=1|2
BIB00024779|Archive|L'Amour médecin|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024779&id=555&p=1|2
BIB00024986|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024986&id=555&p=1|2
BIB00024989|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024989&id=555&p=1|2
BIB00024990|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024990&id=555&p=1|2
BIB00024995|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00024995&id=555&p=1|2
BIB00025003|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025003&id=555&p=1|2
BIB00025200|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025200&id=555&p=1|2
BIB00025213|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025213&id=555&p=1|2
BIB00025242|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025242&id=555&p=1|2
BIB00025288|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025288&id=555&p=1|2
BIB00025290|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025290&id=555&p=1|2
BIB00025297|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025297&id=555&p=1|2
BIB00025301|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025301&id=555&p=1|2
BIB00025308|Archive|Amphitryon|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025308&id=555&p=1|2
BIB00025312|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025312&id=555&p=1|2
BIB00025730|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025730&id=555&p=1|2
BIB00025732|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025732&id=555&p=1|2
BIB00025750|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025750&id=555&p=1|2
BIB00025755|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025755&id=555&p=1|2
BIB00025758|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025758&id=555&p=1|2
BIB00025766|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025766&id=555&p=1|2
BIB00025768|Archive|Le Bourgeois Gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025768&id=555&p=1|2
BIB00025770|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025770&id=555&p=1|2
BIB00025778|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025778&id=555&p=1|2
BIB00025786|Archive|Les Bourgeoises à la mode|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025786&id=555&p=1|14
BIB00025870|Archive|L'Avare|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00025870&id=555&p=1|2
BIB00026171|Archive|Candide|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026171&id=555&p=1|5
BIB00026181|Archive|Candide|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026181&id=555&p=1|5
BIB00026182|Archive|Candide|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026182&id=555&p=1|5
BIB00026184|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026184&id=555&p=1|2
BIB00026208|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026208&id=555&p=1|2
BIB00026210|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026210&id=555&p=1|2
BIB00026211|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026211&id=555&p=1|2
BIB00026212|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026212&id=555&p=1|2
BIB00026214|Archive|Le Bourgeois gentilhomme|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026214&id=555&p=1|2
BIB00026335|Archive|Le Chevalier à la mode|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026335&id=555&p=1|14
BIB00026566|Archive|La Comtesse d'Escarbagnas|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026566&id=555&p=1|2
BIB00026576|Archive|La Comtesse d'Escarbagnas|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026576&id=555&p=1|2
BIB00026579|Archive|La Comtesse d'Escarbagnas|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026579&id=555&p=1|2
BIB00026648|Archive|Crispin rival de son maître|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026648&id=555&p=1|79
BIB00026649|Archive|Crispin rival de son maître|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026649&id=555&p=1|79
BIB00026659|Archive|La Critique de l'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026659&id=555&p=1|2
BIB00026662|Archive|La Critique de l'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026662&id=555&p=1|2
BIB00026669|Archive|La Critique de l'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026669&id=555&p=1|2
BIB00026672|Archive|La Critique de l'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026672&id=555&p=1|2
BIB00026673|Archive|La Critique de l'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026673&id=555&p=1|2
BIB00026793|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026793&id=555&p=1|2
BIB00026794|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026794&id=555&p=1|2
BIB00026798|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026798&id=555&p=1|2
BIB00026803|Archive|Le Dépit amoureux|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026803&id=555&p=1|2
BIB00026846|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026846&id=555&p=1|2
BIB00026847|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026847&id=555&p=1|2
BIB00026848|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026848&id=555&p=1|2
BIB00026849|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026849&id=555&p=1|2
BIB00026850|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026850&id=555&p=1|2
BIB00026851|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026851&id=555&p=1|2
BIB00026852|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026852&id=555&p=1|2
BIB00026854|Archive|Dom Juan|ou Le Festin de Pierre|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026854&id=555&p=1|2
BIB00026857|Archive|Dom Juan|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026857&id=555&p=1|2
BIB00026859|Archive|Dom Juan|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026859&id=555&p=1|2
BIB00026866|Archive|Dom Juan|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026866&id=555&p=1|2
BIB00026869|Archive|Dom Juan|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026869&id=555&p=1|2
BIB00026963|Archive|L'Ecole des Femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026963&id=555&p=1|2
BIB00026965|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026965&id=555&p=1|2
BIB00026968|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026968&id=555&p=1|2
BIB00026972|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026972&id=555&p=1|2
BIB00026975|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026975&id=555&p=1|2
BIB00026979|Archive|L'Ecole des femmes|""|""|http://lagrange.comedie-francaise.fr/notice?ref=BIB00026979&id=555&p=1|2
