"id"|"""date"""|"jour"|"saison"|"recettes"|"semainier"|"notes"|"ouverture"|"cloture"|"page_de_gauche"
25911|1732-12-29|Lundi|"1732-1733"|2578|Armand|""|false|false|
27403|1721-12-20|Samedi|"1721-1722"|402|Duboccage|""|false|false|Distribution
25893|1732-12-06|Samedi|"1732-1733"|1698|""|""|false|false|
45544|1719-03-05|Dimanche|"1718-1719"|1805|Quinault|""|false|false|
45458|1718-12-02|Vendredi|"1718-1719"|2326|Lavoy|""|false|false|
25114|1728-05-13|Jeudi|"1728-1729"|306|""|""|false|false|
42233|1716-06-07|Dimanche|"1716-1717"|669|Lavoy|""|false|false|
25925|1733-01-13|Mardi|"1732-1733"|417|Dubreuil|""|false|false|
25920|1733-01-08|Jeudi|"1732-1733"|1428|""|""|false|false|
25913|1733-01-01|Jeudi|"1732-1733"|1184|""|""|false|false|
45456|1718-11-30|Mercredi|"1718-1719"|3591|Quinault|Au Palais Royal.|false|false|
25916|1733-01-04|Dimanche|"1732-1733"|2439|""|""|false|false|
45003|1739-06-18|Jeudi|"1739-1740"|0|""|""|false|false|
25932|1733-01-20|Mardi|"1732-1733"|503|Dubreuil|""|false|false|
25116|1728-05-15|Samedi|"1728-1729"|241|""|""|false|false|
25931|1733-01-19|Lundi|"1732-1733"|512|""|"Dans la marge ""Semainiers Mrs Dangeville payé, Armand payé"""|false|false|
27663|1725-09-19|Mercredi|"1725-1726"|666|Fontenay|""|false|false|
42240|1716-06-15|Lundi|"1716-1717"|586|Quinault|""|false|false|
42230|1716-06-04|Jeudi|"1716-1717"|148|Lavoy|""|false|false|
27649|1725-09-01|Samedi|"1725-1726"|897|Lavoy|"""On a donné relâche au théâtre pendant deux jours"""|false|false|
25941|1733-01-30|Vendredi|"1732-1733"|206|""|"""On a donné hier relâche au Théâtre à cause du catafalque du roi de Sardaigne"""|false|false|
27660|1725-09-16|Dimanche|"1725-1726"|935|Fontenay|""|false|false|
27653|1725-09-06|Jeudi|"1725-1726"|496|Lavoy|"""On a donné hier relâche au théâtre à cause du voyage de Fontainebleau"""|false|false|
42236|1716-06-10|Mercredi|"1716-1717"|318|Defontenay|""|false|false|
42228|1716-06-02|Mardi|"1716-1717"|303|Lavoy|""|false|false|
27617|1725-07-28|Samedi|"1725-1726"|1201|Dumirail|""|false|false|
25946|1733-02-05|Jeudi|"1732-1733"|3342|""|""|false|false|
27638|1725-08-19|Dimanche|"1725-1726"|622|Fontenay|""|false|false|
27607|1725-07-18|Mercredi|"1725-1726"|620|Fontenay|""|false|false|
28947|1740-04-02|Samedi|"1739-1740"|3483|""|"""L'ouverture"" du théâtre n'est signalée qu'à la troisième représentation."|false|false|Distribution
27674|1725-10-02|Mardi|"1725-1726"|610|Lavoy|""|false|false|
27626|1725-08-06|Lundi|"1725-1726"|793|du Breuil|""|false|false|
27632|1725-08-12|Dimanche|"1725-1726"|376|Dumirail|""|false|false|
27624|1725-08-04|Samedi|"1725-1726"|1015|Dumirail|Début d'acteur non identifiable.|false|false|
27447|1722-02-07|Samedi|"1721-1722"|1165|Duboccage|""|false|false|Distribution
25084|1728-04-12|Lundi|"1728-1729"|1642|""|""|false|false|
25971|1733-03-07|Samedi|"1732-1733"|2504|""|"""on a donné hier relâche au Théâtre"""|false|false|
27636|1725-08-17|Vendredi|"1725-1726"|282|Dumirail|""|false|false|
25963|1733-02-24|Mardi|"1732-1733"|783|Dubreuil|""|false|false|
25961|1733-02-22|Dimanche|"1732-1733"|216|""|""|false|false|
25954|1733-02-14|Samedi|"1732-1733"|4008|Armand|""|false|false|
27614|1725-07-25|Mercredi|"1725-1726"|907|Delathorillière le fils|""|false|false|
45001|1739-06-16|Mardi|"1739-1740"|0|""|""|false|false|
45000|1739-06-15|Lundi|"1739-1740"|0|""|""|false|false|
25957|1733-02-17|Mardi|"1732-1733"|730|""|""|false|false|
27657|1725-09-12|Mercredi|"1725-1726"|287|Armand|""|false|false|
27676|1725-10-04|Jeudi|"1725-1726"|828|Lavoy|""|false|false|
27647|1725-08-28|Mardi|"1725-1726"|44|Dumirail|""|false|false|
27641|1725-08-22|Mercredi|"1725-1726"|1570|Lavoy|""|false|false|
27644|1725-08-25|Samedi|"1725-1726"|1123|du Breuil|""|false|false|
25089|1728-04-17|Samedi|"1728-1729"|449|""|""|false|false|
27635|1725-08-16|Jeudi|"1725-1726"|294|Dumirail|"""On a donné hier relâche au théâtre à cause de la fête de la Vierge"""|false|false|
25976|1733-03-12|Jeudi|"1732-1733"|823|""|""|false|false|
25978|1733-03-14|Samedi|"1732-1733"|2135|Aucune signature|""|false|false|
27655|1725-09-10|Lundi|"1725-1726"|685|Armand|""|false|false|
27667|1725-09-24|Lundi|"1725-1726"|577|Dumirail|""|false|false|
27671|1725-09-29|Samedi|"1725-1726"|1691|Lavoy|""|false|false|
27804|1726-02-24|Dimanche|"1725-1726"|954|Fontenay|""|false|false|
27701|1725-11-02|Vendredi|"1725-1726"|1488|Lavoy|"""On a donné hier relâche au théâtre à cause de la fête de la Toussaint"""|false|false|
27679|1725-10-07|Dimanche|"1725-1726"|898|Fontenay|""|false|false|
27694|1725-10-24|Mercredi|"1725-1726"|738|Lavoy|""|false|false|
27684|1725-10-13|Samedi|"1725-1726"|418|Fontenay|"""On a donné hier relâche au théâtre"""|false|false|
27727|1725-12-03|Lundi|"1725-1726"|715|Duchemin|""|false|false|
27767|1726-01-17|Jeudi|"1725-1726"|718|Dumirail|""|false|false|
27731|1725-12-09|Dimanche|"1725-1726"|2452|Fontenay|"""On a donné hier relâche au théâtre à cause de la fête de la Vierge."""|false|false|
27747|1725-12-28|Vendredi|"1725-1726"|898|Fontenay|""|false|false|
27715|1725-11-20|Mardi|"1725-1726"|524|Fontenay|""|false|false|
27687|1725-10-17|Mercredi|"1725-1726"|1781|Lavoy|"""On a donné hier relâche au théâtre"""|false|false|
27699|1725-10-30|Mardi|"1725-1726"|674|Fontenay|""|false|false|
27691|1725-10-21|Dimanche|"1725-1726"|1150|Lavoy|""|false|false|
25104|1728-05-02|Dimanche|"1728-1729"|517|""|""|false|false|
25118|1728-05-18|Mardi|"1728-1729"|762|""|""|false|false|
25115|1728-05-14|Vendredi|"1728-1729"|788|""|""|false|false|
25121|1728-05-23|Dimanche|"1728-1729"|386|""|""|false|false|
27718|1725-11-24|Samedi|"1725-1726"|2052|Fontenay|"""On a donné hier relâche au théâtre"""|false|false|
27696|1725-10-27|Samedi|"1725-1726"|502|Lavoy|"""On a donné hier relâche au théâtre"""|false|false|
25124|1728-05-26|Mercredi|"1728-1729"|354|""|""|false|false|
27778|1726-01-28|Lundi|"1725-1726"|905|Delathorillière le fils|""|false|false|
27258|1721-07-21|Lundi|"1721-1722"|104|Duboccage|"""Semainiers, MM. Le Baron et Fontenay."""|false|false|Distribution
27773|1726-01-23|Mercredi|"1725-1726"|648|Dumirail|""|false|false|
27780|1726-01-30|Mercredi|"1725-1726"|1057|Lavoy|""|false|false|
27709|1725-11-11|Dimanche|"1725-1726"|1460|Fontenay|""|false|false|
