"id_registre"|"id_place"|"description"|"loge"|"billets_vendus"|"prix_par_billet"|"recettes"
24778|87|Billet à|false|39|201|258
24778|88|Billet à|false|181|1|181
24778|86|Billet à|false|102|2|204
24778|83|Loge basse|true|1|32|32
24778|85|Billet à|false|35|4|140
24779|87|Billet à|false|6|201|9
24779|88|Billet à|false|118|1|118
24779|86|Billet à|false|20|2|40
24779|85|Billet à|false|24|4|96
24780|83|Loge basse|true|5|32|160
24780|85|Billet à|false|106|4|424
24780|88|Billet à|false|312|1|312
24780|87|Billet à|false|32|201|48
24780|86|Billet à|false|118|2|236
24780|84|Loge haute|true|2|20|40
24781|86|Billet à|false|16|2|32
24781|85|Billet à|false|24|4|96
24781|88|Billet à|false|98|1|98
24782|85|Billet à|false|37|4|148
24782|87|Billet à|false|20|201|30
24782|88|Billet à|false|249|1|249
24782|86|Billet à|false|96|2|192
24783|87|Billet à|false|6|201|9
24783|88|Billet à|false|58|1|58
24783|85|Billet à|false|25|4|100
24783|86|Billet à|false|9|2|18
24784|87|Billet à|false|37|201|255
24784|85|Billet à|false|48|4|192
24784|83|Loge basse|true|2|32|64
24784|86|Billet à|false|183|2|366
24784|88|Billet à|false|347|1|347
24785|85|Billet à|false|14|4|56
24785|86|Billet à|false|19|2|38
24785|88|Billet à|false|32|1|32
24786|88|Billet à|false|54|1|54
24786|87|Billet à|false|1|201|201
24786|86|Billet à|false|9|2|18
24786|85|Billet à|false|9|4|36
24787|86|Billet à|false|14|2|28
24787|85|Billet à|false|10|4|40
24787|87|Billet à|false|7|201|210
24787|88|Billet à|false|71|1|71
24788|88|Billet à|false|252|1|252
24788|87|Billet à|false|24|201|36
24788|86|Billet à|false|125|2|250
24788|85|Billet à|false|69|4|276
24788|84|Loge haute|true|2|20|40
24789|88|Billet à|false|42|1|42
24789|86|Billet à|false|8|2|16
24789|85|Billet à|false|5|4|20
24790|84|Loge haute|true|2|20|40
24790|85|Billet à|false|158|4|632
24790|86|Billet à|false|151|2|302
24790|87|Billet à|false|37|201|255
24790|88|Billet à|false|366|1|366
24790|83|Loge basse|true|4|32|128
24791|85|Billet à|false|7|4|28
24791|88|Billet à|false|49|1|49
24791|87|Billet à|false|2|201|3
24791|86|Billet à|false|20|2|40
24792|86|Billet à|false|17|2|34
24792|88|Billet à|false|34|1|34
24792|85|Billet à|false|3|4|12
24793|85|Billet à|false|6|4|24
24793|87|Billet à|false|1|201|201
24793|86|Billet à|false|17|2|34
24793|88|Billet à|false|55|1|55
24794|88|Billet à|false|100|1|100
24794|83|Loge basse|true|1|32|32
24794|85|Billet à|false|22|4|88
24794|86|Billet à|false|40|2|80
24794|87|Billet à|false|3|201|204
24795|88|Billet à|false|31|1|31
24795|86|Billet à|false|2|2|4
24796|87|Billet à|false|2|201|3
24796|86|Billet à|false|8|2|16
24796|88|Billet à|false|14|1|14
24797|85|Billet à|false|14|4|56
24797|86|Billet à|false|15|2|30
24797|88|Billet à|false|64|1|64
24798|87|Billet à|false|9|201|213
24798|85|Billet à|false|2|4|8
24798|86|Billet à|false|30|2|60
24798|88|Billet à|false|73|1|73
24799|86|Billet à|false|10|2|20
24799|88|Billet à|false|48|1|48
24799|87|Billet à|false|1|201|201
24799|85|Billet à|false|9|4|36
24800|87|Billet à|false|1|201|201
24800|88|Billet à|false|21|1|21
24800|86|Billet à|false|11|2|22
24801|86|Billet à|false|8|2|16
24801|85|Billet à|false|5|4|20
24801|87|Billet à|false|2|201|3
24801|88|Billet à|false|95|1|95
24802|88|Billet à|false|15|1|15
24802|87|Billet à|false|4|201|6
24802|86|Billet à|false|4|2|8
24802|85|Billet à|false|3|4|12
24803|88|Billet à|false|14|1|14
24804|87|Billet à|false|1|201|201
24804|88|Billet à|false|55|1|55
24804|85|Billet à|false|8|4|32
24804|86|Billet à|false|9|2|18
24805|85|Billet à|false|23|4|92
24805|88|Billet à|false|185|1|185
24805|87|Billet à|false|8|201|12
24805|86|Billet à|false|38|2|76
24806|85|Billet à|false|5|4|20
